id,idiom,meaning,example,relevance
1243,Moonstruck,In love or infatuated,"Ever since she saw the new boy at school, she's been completely moonstruck.",1 Class
1244,The dark side of the moon,Hidden or unknown aspects of something,There's still so much we don't know about the dark side of the moon.,1 Class
1245,"Once bitten, twice shy",Becoming cautious after a bad experience,"After falling off her bike, she was once bitten and twice shy about riding it again.",1 Class
1246,Cry for the moon,Ask for something impossible or unreasonable,"She's always crying for the moon, asking for the newest and most expensive toys.",1 Class
1247,The man in the moon,The imagined face or figure on the moon's surface,I always imagine the man in the moon winking at me when I look up at night.,1 Class
1248,Moonlighting,Working a second job in addition to a primary one,My dad is a teacher by day and a taxi driver by night - he's moonlighting to earn extra money.,1 Class
1249,Blue moon,The second full moon in a calendar month,We're going to have a blue moon on Halloween this year.,1 Class
1250,Promise the moon,Make unrealistic promises,"The politician promised the moon during his campaign, but he hasn't fulfilled any of his promises yet.",1 Class
1251,Many moons ago,A long time ago,"Many moons ago, people used to write letters instead of sending text messages.",1 Class
1252,Moonwalking,Moving backwards while appearing to move forwards,Michael Jackson was famous for his moonwalking dance moves.,1 Class
1253,Over the sun and moon,More than anything else,I love my family over the sun and moon.,1 Class
1254,Ask for the moon,Make an extravagant request,"She's always asking for the moon, like asking for a trip to Disney World every summer.",1 Class
1255,Moonshot,A bold or ambitious goal,Our company's moonshot is to cure cancer within the next 10 years.,1 Class
1256,Reach for the moon,Aim high,Don't be afraid to reach for the moon - you might just surprise yourself.,1 Class
1257,The whole moon,The entire amount,My sister ate the whole moon and left nothing for me.,1 Class
1258,Half-moon,The shape of a half-circle or crescent,The moon was a half-moon last night.,1 Class
1259,Once in a full moon,"Rarely, but not as rare as once in a blue moon",My grandma only makes her special chocolate cake once in a full moon.,1 Class
1260,As still as a tree,Very still and quiet,The children were as still as trees during the game of hide and seek.,1 Class
1261,Shake the family tree,To research one's family history,She decided to shake the family tree and see if she could find any interesting ancestors.,1 Class
1262,Family tree,A diagram that shows the relationships between members of a family,We spent the afternoon creating a family tree to see how we were all related.,1 Class
1263,Climb the family tree,To research one's family history,She spent hours climbing the family tree and uncovering interesting stories about her ancestors.,1 Class
1264,Like a tree in a storm,Resilient and strong in the face of difficulty,"Even though the team was facing many challenges, they stood like a tree in a storm and persevered.",1 Class
1265,The apple doesn't fall far from the tree,Children often share characteristics with their parents,John is just as stubborn as his father; the apple doesn't fall far from the tree.,1 Class
1266,Out on a limb,In a vulnerable or risky position,"He knew that he was out on a limb when he decided to take on the difficult project, but he was determined to succeed.",1 Class
1267,Leafy suburbs,Neighborhoods with many trees,"The house was located in a leafy suburb, surrounded by towering trees and beautiful gardens.",1 Class
1268,Bark up the wrong tree,To pursue a mistaken or misguided course of action,"If you think that John is responsible for the missing money, then you're barking up the wrong tree.",1 Class
1269,Tree hugger,Someone who is passionate about protecting the environment,"She was a real tree hugger, always advocating for more green spaces and less pollution.",1 Class
1270,Make like a tree and leave,To quickly and discreetly exit a situation,"When the conversation turned uncomfortable, she decided to make like a tree and leave.",1 Class
97,A blessing in disguise,"Something that seems bad at first, but turns out to be good",Losing my job was a blessing in disguise because it allowed me to start my own business.,5 class
98,A dime a dozen,Very common and not very valuable,Those cheap toys are a dime a dozen.,5 class
99,A piece of cake,Very easy,The math homework was a piece of cake.,5 class
100,Actions speak louder than words,What someone does is more important than what they say,"My mom always tells me to be kind to others, but she shows it too. Actions speak louder than words.",5 class
101,All ears,Listening carefully,"Go ahead and tell me your story, I'm all ears.",5 class
102,All thumbs,Clumsy with one's hands,"I tried to tie my shoelaces, but I'm all thumbs today.",5 class
103,Apple of someone's eye,Someone's favorite person,My grandma loves me the most. I'm the apple of her eye.,5 class
104,Barking up the wrong tree,Making a mistake in what one is trying to achieve,"If you're looking for the pencil, you're barking up the wrong tree. It's in the other room.",5 class
105,Beat around the bush,Avoiding the main topic,Stop beating around the bush and tell me what happened.,5 class
106,Bite the bullet,To endure a painful or difficult situation,"Even though the medicine tasted awful, I had to bite the bullet and take it.",5 class
107,Break a leg,Good luck,Break a leg on your audition tomorrow!,5 class
108,Butterflies in one's stomach,Feeling nervous,"Before my first piano recital, I had butterflies in my stomach.",5 class
109,Cat got one's tongue,Unable to speak or be quiet,Why are you so quiet? Has the cat got your tongue?,5 class
110,Cold feet,To back out of something at the last minute,My friend got cold feet and decided not to go on the rollercoaster.,5 class
111,Cost an arm and a leg,Very expensive,That new phone costs an arm and a leg.,5 class
112,Cry over spilled milk,Worrying about something that has already happened and cannot be changed,"I accidentally spilled juice on my shirt, but there's no use crying over spilled milk.",5 class
113,Curiosity killed the cat,Being too curious can lead to trouble,My little sister always wants to know everything. I hope curiosity doesn't kill the cat.,5 class
