id,word,word_definition,antonyms,synonyms,example,relevance
2748,Brick,A rectangular block used in building structures,"Foam, cardboard, plastic, paper","Stone, block, tile, masonry",The brick wall is very strong and sturdy.,Prep Class
2749,Bridge,"A structure that spans a gap, such as a river or highway","Tunnel, culvert, gorge, chasm","Overpass, viaduct, span, arch",We drove over the bridge to get to the other side of the river.,Prep Class
2750,Brown,A color between red and yellow,"Blue, green, purple, pink","Tan, beige, caramel, chestnut",My favorite teddy bear is brown and fuzzy.,Prep Class
2751,Bug,An insect or small creature that is considered a pest,"Butterfly, ladybug, dragonfly, honeybee","Beetle, ant, roach, fly",There is a bug crawling on the wall.,Prep Class
2752,Cake,A sweet baked dessert,"Savory, Salty, Sour, Bitter","Pastry, Confection, Dessert, Sweet",The cake was delicious and moist.,Prep Class
2753,Calm,"Peaceful, quiet, and tranquil","Anxious, Agitated, Nervous, Tense","Serene, Quiet, Soothing, Relaxing",Take a deep breath and try to stay calm.,Prep Class
2754,Camp,A place where people sleep outdoors,"Town, City, Metropolis, Urban","Encampment, Bivouac, Outpost, Garrison",The kids had a great time at summer camp.,Prep Class
2755,Car,A vehicle used for transportation,"Pedestrian, Bicycle, Walk, Run","Automobile, Vehicle, Ride, Motor",We took the car to go on a road trip.,Prep Class
2756,Card,A piece of paper used for playing games or writing messages,"Notebook, Stationery, Envelope, Writing Paper","Playing Card, Greeting Card, Business Card, Flash Card",She gave me a birthday card with a sweet message.,Prep Class
2757,Care,To look after or attend to someone or something,"Neglect, Ignore, Abandon, Disregard","Attend, Mind, Tend, Watch",We need to take care of our pets by giving them food and water.,Prep Class
2758,Carry,To hold and move something from one place to another,"Leave, Abandon, Drop, Forget","Transport, Bear, Convey, Haul",Can you carry these bags for me?,Prep Class
2759,Cat,A small domesticated carnivorous mammal,"Dog, Bird, Fish, Rodent","Feline, Kitten, Tomcat, Tabby",My cat likes to curl up on my lap and sleep.,Prep Class
2760,Catch,To seize or capture something or someone,"Release, Let go, Miss, Drop","Capture, Seize, Grab, Snatch",He managed to catch the ball before it hit the ground.,Prep Class
2761,Celebrate,To observe or honor a special occasion or event,"Mourn, Lament, Deplore, Denounce","Commemorate, Rejoice, Mark, Honor",We're going to celebrate my grandmother's 90th birthday next week.,Prep Class
2762,Center,The middle or focal point of something,"Periphery, Edge, Border, Margin","Core, Heart, Focus, Hub",The center of the room was empty.,Prep Class
2763,Champion,A winner of a competition or a strong supporter of a cause,"Loser, Coward, Traitor, Opponent","Winner, Hero, Advocate, Defender",She's a champion of animal rights.,Prep Class
2764,Change,To make or become different,"Keep, Preserve, Maintain, Leave","Alter, Modify, Transform, Vary",I need to change my clothes before we go out.,Prep Class
2765,Cheer,To show support or happiness,"Boo, Disapprove, Discourage, Depress","Encourage, Applaud, Support, Root",The crowd cheered when the team scored a goal.,Prep Class
2766,Child,A young human being,"Adult, Elder, Senior, Grown-up","Kid, Toddler, Infant, Minor",My child loves to play with toys.,Prep Class
2767,Ear,The part of the body used for hearing,"Eye, nose, mouth, hand","Auditory organ, auricle, hearing device, sound catcher",I use my ears to listen to music.,Prep Class
2768,Egg,An oval-shaped object with a hard shell that contains a baby animal,"Fruit, vegetable, meat, fish","Omelette, scrambled eggs, fried egg, boiled egg",The Easter bunny left colorful eggs in the garden.,Prep Class
2769,Elephant,A large mammal with a long trunk and tusks,"Mouse, hamster, rabbit, bird","Pachyderm, mammoth, jumbo, tusked animal",The elephant at the zoo was very big and gray.,Prep Class
2770,Elf,A mythical creature with pointy ears and magical powers,"Giant, troll, dragon, monster","Fairy, sprite, goblin, imp",The elf in the story helped the princess find her way home.,Prep Class
2771,Emerald,A green precious gemstone,"Ruby, diamond, sapphire, topaz","Jade, peridot, tourmaline, beryl",The queen wore a necklace with a large emerald pendant.,Prep Class
2772,Energy,The ability to do work or produce movement,"Laziness, fatigue, exhaustion, weakness","Power, vigor, stamina, strength",I have a lot of energy when I play outside.,Prep Class
2773,Envelope,A paper or cardboard container for a letter or card,"Email, text message, phone call, fax","Mailer, wrapper, folder, sleeve",I put my Valentine's Day card in a pink envelope.,Prep Class
2774,Eraser,A tool used to remove pencil marks from paper,"Marker, pen, crayon, paint","Rubber, delete button, correction tape, whiteout",I used my eraser to fix my mistake on my homework.,Prep Class
2775,Eye,The part of the body used for seeing,"Ear, nose, mouth, hand","Orb, vision center, peeper, watcher",I can see the rainbow with my eyes.,Prep Class
2776,Earth,"The planet we live on, known as the third planet from the sun","Moon, Mars, Venus, Jupiter","World, globe, planet, terrain",We need to take care of the earth by recycling and not littering.,Prep Class
2777,Eagle,A large bird of prey with sharp talons and a hooked beak,"Mouse, rabbit, squirrel, fish","Hawk, falcon, osprey, vulture",The eagle flew high in the sky and caught a fish in its talons.,Prep Class
2778,Earring,A piece of jewelry worn on the earlobe,"Necklace, bracelet, ring, watch","Stud, hoop, dangle, clip-on",My mom gave me a pair of gold earrings for my birthday.,Prep Class
2779,Earthquake,A sudden shaking of the earth's surface caused by the movement of tectonic plates,"Calm, stillness, peace, quiet","Quake, tremor, shock, jolt",The earthquake made the ground shake and the dishes in the kitchen rattle.,Prep Class
2780,Eggplant,A vegetable with a dark purple skin and white flesh inside,"Carrot, broccoli, spinach, tomato","Aubergine, brinjal, melongene, guinea squash",We cooked eggplant Parmesan for dinner.,Prep Class
2781,Face,The front part of a person's head,"Back, Rear, Nape, Tail","Visage, Countenance, Features, Mug",She had a big smile on her face.,Prep Class
2782,Fairy,A small imaginary being with magical powers,"Ogre, Troll, Giant, Demon","Pixie, Sprite, Elf, Nymph",The fairy granted her wish and disappeared.,Prep Class
2783,Fall,To drop down from a higher to a lower position,"Rise, Climb, Ascend, Soar","Drop, Descend, Plunge, Tumble",The leaves fall from the trees in autumn.,Prep Class
2784,Family,A group of people related by blood or marriage,"Stranger, Acquaintance, Enemy, Foe","Household, Clan, Tribe, Kin",I love spending time with my family.,Prep Class
2785,Fan,A device that creates a current of air,"Heater, Furnace, Radiator, Stove","Blower, Ventilator, Windmill, Cooler","It's hot, let's turn on the fan.",Prep Class
2786,Farm,A piece of land used for growing crops or raising animals,"City, Town, Metropolis, Urban","Ranch, Homestead, Plantation, Estate",We visited a farm and saw cows and sheep.,Prep Class
2787,Fast,Moving or able to move quickly,"Slow, Sluggish, Leisurely, Gradual","Quick, Rapid, Swift, Speedy",The cheetah is the fastest land animal.,Prep Class
2788,Fat,A substance found in foods that can make people or animals overweight,"Thinness, Slimness, Leanness, Emaciation","Obesity, Chubbiness, Plumpness, Corpulence",Too much junk food can make you fat.,Prep Class
2789,Feather,"One of the flat, light, and soft structures that cover a bird's body","Scale, Fur, Hair, Skin","Plume, Quill, Fluff, Down",The bird's feathers were blue and green.,Prep Class
2790,Feed,To give food to someone or something,"Starve, Deprive, Withhold, Refuse","Nourish, Sustain, Supply, Provide",Don't forget to feed the fish.,Prep Class
2791,Feel,To have a sensation or emotion,"Numb, Insensitive, Apathetic, Indifferent","Sense, Perceive, Experience, Detect",How do you feel today?,Prep Class
2792,Festival,A special event or celebration,"Mourning, Lamentation, Funeral, Wake","Celebration, Carnival, Holiday, Fete",The festival was full of music and dancing.,Prep Class
2793,Field,An area of land used for farming or sports,"City, Town, Metropolis, Urban","Meadow, Pasture, Prairie, Stadium",The soccer players were running on the field.,Prep Class
2794,Fight,To engage in a physical or verbal battle,"Peace, Harmony, Truce, Ceasefire","Battle, Combat, Brawl, Quarrel","Don't fight with your brother, play nicely.",Prep Class
2795,Find,To discover or locate something or someone,"Lose, Misplace, Forget, Abandon","Discover, Uncover, Locate, Spot",I found my lost toy under the bed.,Prep Class
2796,Fire,A destructive force caused by burning,"Water, Ice, Snow, Frost","Flame, Blaze, Inferno, Conflagration",We sat by the fire and roasted marshmallows.,Prep Class
2797,Hair,The strands that grow from the scalp on the head or body,"Bald, shaved, smooth, bare","Mane, fur, locks, tresses",I brush my hair every morning before school.,Prep Class
2798,Hand,"The body part attached to the end of the arm, used for gripping and manipulating objects","Foot, leg, arm, shoulder","Palm, fingers, thumb, knuckles",I use my hand to hold my pencil and draw a picture.,Prep Class
2799,Hat,"A covering for the head, typically with a brim and a crown","Helmet, headband, tiara, crown","Cap, beanie, fedora, beret",I wear my hat outside to protect my head from the sun.,Prep Class
2800,Heart,The organ that pumps blood throughout the body and is associated with emotions such as love,"Brain, liver, stomach, kidney","Cardiovascular system, ticker, organ, pulse",My heart beats fast when I'm excited or scared.,Prep Class
2801,House,A building or structure used for living in,"Office, store, school, hospital","Home, dwelling, residence, abode",I live in a house with my family and our pets.,Prep Class
2802,Horse,"A large mammal with four legs and a mane, often used for riding or working","Dog, cat, bird, fish","Stallion, mare, foal, colt",I rode a horse at the farm and it was so much fun.,Prep Class
2803,Head,"The part of the body at the top of the neck, containing the brain and the organs of sight, smell, and hearing","Foot, leg, arm, hand","Skull, cranium, face, scalp",I use my head to think and learn new things.,Prep Class
2804,Honey,"A sweet, sticky substance produced by bees from nectar","Salt, pepper, sour, bitter","Nectar, syrup, sugar, sweetener",I like to eat honey on my toast in the morning.,Prep Class
2805,Hug,"To hold someone tightly in one's arms, often as a gesture of affection","Push, pull, hit, kick","Embrace, cuddle, snuggle, squeeze",I give my mom a hug when she comes home from work.,Prep Class
2806,Hill,"A naturally raised area of land, smaller than a mountain","Valley, plain, plateau, canyon","Slope, incline, rise, knoll",We climbed to the top of the hill to see the view of the city.,Prep Class
2807,Hat,"A covering for the head, typically with a brim and a crown","Helmet, headband, tiara, crown","Cap, beanie, fedora, beret",I wear my hat outside to protect my head from the sun.,Prep Class
2808,Happy,Feeling or showing pleasure or contentment,"Sad, angry, upset, frustrated","Joyful, delighted, pleased, satisfied",I am happy when I get to play with my friends at recess.,Prep Class
2809,Houseplant,"A plant that is grown indoors, typically in a pot or container","Garden plant, outdoor plant, weed, shrub","Potted plant, indoor plant, foliage, greenery",I water my houseplants once a week to help them grow.,Prep Class
2810,Jacket,A short coat,"Shirt, T-shirt, Tank top, Blouse","Coat, Blazer, Windbreaker, Parka","It's cold outside, wear your jacket.",Prep Class
2811,January,The first month of the year,"December, November, October, Summer","New Year, Winter, Beginning, Start",January is a great month for building snowmen.,Prep Class
2812,Jar,"A container with a lid, used for storing food or other items","Bottle, Glass, Cup, Mug","Canister, Crock, Pot, Vessel",We store cookies in a jar on the kitchen counter.,Prep Class
